Id,SalePrice
1461,124839.02645039975
1462,151188.89307170754
1463,182727.62822281133
1464,188525.61283912897
1465,194883.2825573389
1466,183230.29518231837
1467,172619.2518644047
1468,177125.03534196058
1469,183269.5262794395
1470,128973.37660513305
1471,202168.88545978797
1472,101641.8343303056
1473,106530.81235363698
1474,154794.35250579647
1475,122763.03684380233
1476,337419.8460240794
1477,249244.63848974666
1478,297834.0012045025
1479,294455.7463574931
1480,383647.33360040025
1481,298814.0961263994
1482,205600.60764652598
1483,189549.89545588085
1484,177938.7762472883
1485,177904.60399815766
1486,198363.36204566676
1487,303627.8933715022
1488,241000.1496830012
1489,199922.6388648053
1490,219421.33287626356
1491,196737.02811455552
1492,103577.7808849697
1493,177656.9262044051
1494,287749.03918791824
1495,284618.2023226701
1496,230732.39561419853
1497,185963.37778560503
1498,162920.11627041633
1499,162474.63106474778
1500,162994.104895687
1501,169592.5328751086
1502,164055.33927196226
1503,251801.0171435771
1504,219474.52433396765
1505,218146.4194585162
1506,184182.4641364547
1507,237265.4399992183
1508,192353.81389213138
1509,158805.92671028702
1510,148154.0352002966
1511,150394.68888029925
1512,175062.24205858988
1513,150758.5224520156
1514,151330.0245729962
1515,182701.05835188448
1516,153329.49748558292
1517,147257.02634810348
1518,143174.57822849913
1519,220585.4354134434
1520,139318.6664288513
1521,140814.1556694214
1522,163084.80741207642
1523,119630.44980041726
1524,121130.19524905711
1525,126882.58660182057
1526,125710.75015790852
1527,113629.48553803405
1528,125336.97384535789
1529,141862.36588514078
1530,163593.41128215456
1531,136173.05900444536
1532,103768.66255514816
1533,141279.125043713
1534,117495.06210185804
1535,151525.96209211458
1536,121363.99364020037
1537,97888.66283234865
1538,144344.4103573668
1539,175937.4015993853
1540,124708.3093555373
1541,139117.94316301504
1542,137818.65977357057
1543,169849.0833009522
1544,90170.30668143298
1545,108260.77512215204
1546,121764.43137670285
1547,134037.40522956575
1548,126077.02035073693
1549,114710.20129990275
1550,138507.51636749323
1551,120491.19155965639
1552,148015.3422915276
1553,132878.53572590585
1554,116009.80459979452
1555,167542.40257427088
1556,100350.85248995594
1557,119665.62909737813
1558,101387.16363055502
1559,113743.69631509265
1560,139753.38415504355
1561,148492.87571341303
1562,127972.77924999615
1563,123660.58695451898
1564,163443.91664888547
1565,153822.06679698444
1566,200751.74612643776
1567,95106.83019989815
1568,213795.57890857177
1569,156297.40475905762
1570,136885.45375140087
1571,126744.95068728288
1572,141396.63311112544
1573,227956.82778291721
1574,136312.331931937
1575,203441.6412154144
1576,229482.55714354746
1577,194770.4125792266
1578,148842.78260582063
1579,144073.2395892922
1580,190373.68819054362
1581,137492.29005016963
1582,126669.20778851147
1583,315778.2851647908
1584,234157.59032325848
1585,145734.39964265816
1586,92708.03527620653
1587,113148.21037070968
1588,143061.20927391204
1589,109035.08042452921
1590,133360.4809849348
1591,103651.91409267766
1592,131842.08482320342
1593,118275.66387273383
1594,124513.57797145713
1595,128086.87910682255
1596,197035.10143440857
1597,165497.56314682143
1598,180704.36022405076
1599,159669.3176322913
1600,179176.67508357213
1601,87169.84215039654
1602,114653.21497779422
1603,104728.62878765787
1604,266058.1153361801
1605,241987.70705308838
1606,162470.7964776191
1607,166969.20309057232
1608,215655.0854185057
1609,191373.05683443887
1610,165171.63029170528
1611,146987.28191401335
1612,194444.5779786833
1613,180322.15814208804
1614,122098.7627227627
1615,95231.25605607654
1616,90894.25489765957
1617,99759.79930458544
1618,124690.10301936523
1619,138198.04665464238
1620,179055.56904770798
1621,142425.65437912339
1622,144781.0384052773
1623,254873.29637587976
1624,217718.03724462932
1625,129005.32820827178
1626,171589.6013227815
1627,185838.29703834507
1628,261230.54960394913
1629,174587.92309185475
